Feature,Importancia
Cont_Total_Transacoes,0.2193105189014614
Valor_Total_Transacoes,0.1537266579160162
Saldo_Rotativo_Total,0.10942739032271231
Var_Total_Cont_Q4_Q1,0.08808511208839444
Meses_Inativo_12m,0.06873639949175148
Cont_Total_Relacionamento,0.058100065301510774
Taxa_Media_Utilizacao,0.0557202285824364
Cont_Contatos_12m,0.05236272561015941
Var_Total_Valor_Q4_Q1,0.03792759572677953
Media_Disponivel_Compra,0.027389491602792793
Idade_Cliente,0.025396550890665108
Limite_Credito,0.022542844653608854
Meses_Como_Cliente,0.019774333067856222
Num_Dependentes,0.017964541256031877
Escolaridade,0.013037423244913618
Estado_Civil,0.008165399179029708
Genero,0.006644430571023936
Faixa_Renda_Less than $40K,0.0027257107465079654
Categoria_Cartao,0.0025719235113466077
Faixa_Renda_$80K - $120K,0.0025065671856285884
Faixa_Renda_$60K - $80K,0.0023368158683625844
Faixa_Renda_$40K - $60K,0.002302668409002383
Faixa_Renda_Nao Informado,0.0018456862099279154
Faixa_Renda_$120K +,0.0013989196620798484
